old_uid;new_uid
0d499bd5-9c92-4098-9247-3bd2f3414f75;0d499bd5-9c92-4098-9247-3bd2f3414f75
9343ae51-bd26-4732-9d8b-4ff5bef8b7f0;4ec6e112-d5a4-4c08-b30d-195410d6015a
78358ad5-fbd6-4a62-8a5b-2560d203c9e4;87fd9a12-6808-4e10-bff0-e245011e4289
2a980778-9f5d-432c-922e-a2bf6975500b;a573c39e-a1c7-4fdf-bc8b-463c2a24759e
3e5b5296-c519-45e5-a0de-d9ec44334dd5;3e5b5296-c519-45e5-a0de-d9ec44334dd5
cff0fef7-bcda-42cd-8799-523a13caa559;5e37f2e7-2f9c-42d5-a5d2-36efa1d62f22
093deee1-5c6b-401a-ace3-41b0d00182e2;03828236-aafb-409e-b5d4-79dd5e74582f
a8888600-65ac-4325-9f05-f8dae2bd9cb9;fba9d9ea-2c92-42bf-9ee6-19c7e59dd5b2
d76f95c5-f602-499b-ab11-ce6160e33cdc;979de39b-ea84-4d88-8e71-ab8cd15ab0cc
d81e057b-feb4-4dd7-a780-67736856efcd;ee775439-632f-476e-ba4e-e2c2ae6c6173
7967c074-ac94-4e3b-ad57-cadb435a8595;09999684-beb8-4ba0-9510-5bc56ea01c84
a459077d-5f34-4019-aecc-07786639d35e;e1971256-98e3-4183-9713-a50d9c0f802c
4c1deb53-3272-4d43-92ea-cc52049bab5c;9bc4fba4-d126-47b9-8313-9f39ab4f1173
d4151044-1e50-4521-ba9e-9b0af6cccbee;e1fa4e63-36fe-4f7b-8445-83b6ac6ef315
6b821c2d-ae4e-44f4-8cf1-fad67eb64207;884e0771-40f2-4122-89b2-cde184b5bb09
6af2ddf4-8650-4381-9d96-f0a4420abac1;d46955dd-6a1d-49aa-8e8f-8f5ac9a89067
